date,gdp
2022-10-01,60422.0
2022-07-01,60080.0
2022-04-01,59688.0
2022-01-01,59836.0
2021-10-01,60117.0
2021-07-01,59169.0
2021-04-01,58842.0
2021-01-01,57882.0
2020-10-01,56993.0
2020-07-01,56479.0
2020-04-01,52393.0
2020-01-01,57279.0
2019-10-01,58017.0
2019-07-01,57845.0
2019-04-01,57418.0
2019-01-01,57100.0
2018-10-01,56851.0
2018-07-01,56831.0
2018-04-01,56512.0
2018-01-01,56195.0
2017-10-01,55877.0
2017-07-01,55413.0
2017-04-01,55057.0
2017-01-01,54866.0
2016-10-01,54714.0
2016-07-01,54549.0
2016-04-01,54334.0
2016-01-01,54267.0
2015-10-01,54045.0
2015-07-01,54081.0
2015-04-01,54021.0
2015-01-01,53806.0
2014-10-01,53464.0
2014-07-01,53340.0
2014-04-01,52840.0
2014-01-01,52266.0
2013-10-01,52544.0
2013-07-01,52284.0
2013-04-01,51982.0
2013-01-01,51998.0
2012-10-01,51634.0
2012-07-01,51684.0
2012-04-01,51702.0
2012-01-01,51559.0
2011-10-01,51232.0
2011-07-01,50769.0
2011-04-01,50897.0
2011-01-01,50646.0
2010-10-01,50859.0
2010-07-01,50706.0
2010-04-01,50424.0
2010-01-01,50036.0
2009-10-01,49886.0
2009-07-01,49473.0
2009-04-01,49408.0
2009-01-01,49594.0
2008-10-01,50281.0
2008-07-01,51523.0
2008-04-01,51923.0
2008-01-01,51740.0
2007-10-01,52066.0
2007-07-01,51882.0
2007-04-01,51705.0
2007-01-01,51492.0
2006-10-01,51455.0
2006-07-01,51155.0
2006-04-01,51210.0
2006-01-01,51200.0
2005-10-01,50629.0
2005-07-01,50470.0
2005-04-01,50204.0
2005-01-01,50068.0
2004-10-01,49623.0
2004-07-01,49243.0
2004-04-01,48905.0
2004-01-01,48633.0
2003-10-01,48450.0
2003-07-01,48012.0
2003-04-01,47342.0
2003-01-01,47027.0
2002-10-01,46883.0
2002-07-01,46936.0
2002-04-01,46866.0
2002-01-01,46683.0
2001-10-01,46400.0
2001-07-01,46390.0
2001-04-01,46698.0
2001-01-01,46519.0
2000-10-01,46777.0
2000-07-01,46624.0
2000-04-01,46704.0
2000-01-01,45983.0
1999-10-01,45932.0
1999-07-01,45326.0
1999-04-01,44876.0
1999-01-01,44627.0
1998-10-01,44321.0
1998-07-01,43748.0
1998-04-01,43342.0
1998-01-01,43062.0
1997-10-01,42745.0
1997-07-01,42514.0
1997-04-01,42128.0
1997-01-01,41558.0
1996-10-01,41401.0
1996-07-01,41106.0
1996-04-01,40873.0
1996-01-01,40317.0
1995-10-01,40117.0
1995-07-01,39969.0
1995-04-01,39760.0
1995-01-01,39754.0
1994-10-01,39720.0
1994-07-01,39390.0
1994-04-01,39288.0
1994-01-01,38876.0
1993-10-01,38606.0
1993-07-01,38210.0
1993-04-01,38158.0
1993-01-01,38053.0
1992-10-01,38102.0
1992-07-01,37839.0
1992-04-01,37607.0
1992-01-01,37328.0
1991-10-01,36995.0
1991-07-01,36993.0
1991-04-01,36938.0
1991-01-01,36769.0
1990-10-01,37056.0
1990-07-01,37529.0
1990-04-01,37636.0
1990-01-01,37617.0
1989-10-01,37295.0
1989-07-01,37323.0
1989-04-01,37151.0
1989-01-01,36953.0
1988-10-01,36654.0
1988-07-01,36262.0
1988-04-01,36145.0
1988-01-01,35751.0
1987-10-01,35638.0
1987-07-01,35123.0
1987-04-01,34907.0
1987-01-01,34607.0
1986-10-01,34418.0
1986-07-01,34316.0
1986-04-01,34075.0
1986-01-01,33994.0
1985-10-01,33746.0
1985-07-01,33581.0
1985-04-01,33161.0
1985-01-01,32941.0
1984-10-01,32686.0
1984-07-01,32498.0
1984-04-01,32267.0
1984-01-01,31783.0
1983-10-01,31233.0
1983-07-01,30667.0
1983-04-01,30140.0
1983-01-01,29530.0
1982-10-01,29205.0
1982-07-01,29265.0
1982-04-01,29453.0
1982-01-01,29384.0
1981-10-01,29911.0
1981-07-01,30319.0
1981-04-01,30042.0
1981-01-01,30335.0
1980-10-01,29813.0
1980-07-01,29347.0
1980-04-01,29470.0
1980-01-01,30174.0
1979-10-01,30164.0
1979-07-01,30182.0
1979-04-01,30050.0
1979-01-01,30096.0
1978-10-01,30119.0
1978-07-01,29806.0
1978-04-01,29596.0
1978-01-01,28567.0
1977-10-01,28543.0
1977-07-01,28623.0
1977-04-01,28195.0
1977-01-01,27724.0
1976-10-01,27464.0
1976-07-01,27339.0
1976-04-01,27260.0
1976-01-01,27119.0
1975-10-01,26579.0
1975-07-01,26294.0
1975-04-01,25928.0
1975-01-01,25806.0
1974-10-01,26177.0
1974-07-01,26347.0
1974-04-01,26666.0
1974-01-01,26660.0
1973-10-01,26946.0
1973-07-01,26758.0
1973-04-01,26966.0
1973-01-01,26735.0
1972-10-01,26146.0
1972-07-01,25783.0
1972-04-01,25608.0
1972-01-01,25099.0
1971-10-01,24705.0
1971-07-01,24723.0
1971-04-01,24597.0
1971-01-01,24535.0
1970-10-01,23960.0
1970-07-01,24303.0
1970-04-01,24163.0
1970-01-01,24204.0
1969-10-01,24300.0
1969-07-01,24491.0
1969-04-01,24399.0
1969-01-01,24380.0
1968-10-01,24054.0
1968-07-01,24025.0
1968-04-01,23905.0
1968-01-01,23566.0
1967-10-01,23144.0
1967-07-01,23035.0
1967-04-01,22883.0
1967-01-01,22926.0
1966-10-01,22780.0
1966-07-01,22664.0
1966-04-01,22543.0
1966-01-01,22525.0
1965-10-01,22044.0
1965-07-01,21618.0
1965-04-01,21219.0
1965-01-01,21011.0
1964-10-01,20571.0
1964-07-01,20580.0
1964-04-01,20337.0
1964-01-01,20182.0
1963-10-01,19827.0
1963-07-01,19774.0
1963-04-01,19422.0
1963-01-01,19269.0
1962-10-01,19124.0
1962-07-01,19138.0
1962-04-01,18979.0
1962-01-01,18875.0
1961-10-01,18610.0
1961-07-01,18331.0
1961-04-01,18061.0
1961-01-01,17828.0
1960-10-01,17768.0
1960-07-01,18070.0
1960-04-01,18072.0
1960-01-01,18279.0
1959-10-01,17983.0
1959-07-01,18011.0
1959-04-01,18075.0
1959-01-01,17745.0
1958-10-01,17486.0
1958-07-01,17166.0
1958-04-01,16850.0
1958-01-01,16805.0
1957-10-01,17317.0
1957-07-01,17578.0
1957-04-01,17485.0
1957-01-01,17595.0
1956-10-01,17562.0
1956-07-01,17364.0
1956-04-01,17461.0
1956-01-01,17388.0
1955-10-01,17528.0
1955-07-01,17508.0
1955-04-01,17353.0
1955-01-01,17144.0
1954-10-01,16737.0
1954-07-01,16496.0
1954-04-01,16387.0
1954-01-01,16436.0
1953-10-01,16586.0
1953-07-01,16920.0
1953-04-01,17093.0
1953-01-01,17025.0
1952-10-01,16776.0
1952-07-01,16317.0
1952-04-01,16271.0
1952-01-01,16299.0
1951-10-01,16192.0
1951-07-01,16234.0
1951-04-01,15979.0
1951-01-01,15769.0
1950-10-01,15623.0
1950-07-01,15398.0
1950-04-01,14889.0
1950-01-01,14500.0
1949-10-01,14009.0
1949-07-01,14192.0
1949-04-01,14107.0
1949-01-01,14212.0
1948-10-01,14474.0
1948-07-01,14525.0
1948-04-01,14505.0
1948-01-01,14326.0
1947-10-01,14171.0
1947-07-01,14018.0
1947-04-01,14111.0
1947-01-01,14213.0
